Family,Job,priority weight,Machine 1 processing time (hours),Machine 2 processing time (hours),due date (hours)
A,1,0.7,3.8,7.2,15.0
A,2,0.4,3.9,2.8,10.0
A,3,0.6,1.4,3.0,23.0
A,4,0.4,4.8,1.5,19.0
A,5,0.2,1.0,0.5,29.0
A,6,0.2,4.1,0.5,12.0
A,7,0.8,3.4,1.2,10.0
A,8,0.9,3.0,2.2,23.0
A,9,0.7,2.9,4.7,31.0
A,10,0.6,2.3,1.1,19.0
B,11,0.5,4.2,6.8,28.0
B,12,0.7,1.9,1.2,9.0
B,13,0.9,4.9,5.9,21.0
B,14,0.2,4.3,5.8,13.0
B,15,0.9,2.6,2.4,11.0
B,16,0.3,4.3,2.8,27.0
B,17,0.1,4.4,3.3,15.0
B,18,0.9,3.0,5.2,18.0
B,19,0.4,4.3,2.1,8.0
B,20,0.7,1.1,2.0,25.0
